url_length,url_depth,has_https,num_dots,has_ip,is_shortened,has_at_symbol,has_redirection,has_hyphen,subdomain_count,tld_infrequent,entropy,suspicious_words,digit_to_char_ratio,special_char_count,num_query_params,has_hexadecimal,uppercase_to_lowercase_ratio,has_suspicious_file_extension,has_port_number,path_length,label
1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1
1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
